YEAR,WEEK,TOTAL SPECIMENS,A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,BVic,BYam,A (H5)
2025,40,985,43,62,5,5,0,4,0,0
2025,41,946,60,52,6,5,0,1,0,0
2025,42,1050,108,68,10,6,0,2,0,0
2025,43,1181,139,114,11,3,0,7,0,0
2025,44,1260,187,77,7,10,0,3,0,0
2025,45,1544,430,136,16,14,0,6,0,0
2025,46,1744,668,175,20,24,0,11,0,2
2025,47,2358,1037,207,50,61,0,13,0,0
2025,48,2330,1252,206,57,33,0,18,0,0
2025,49,3263,1617,195,169,51,0,22,0,0
2025,50,4664,2493,247,669,43,0,24,0,0
2025,51,6723,3632,298,1462,78,0,33,0,0
2025,52,7355,4065,319,1729,90,0,48,0,0
2025,53,7114,3798,366,1542,105,0,39,0,0
2026,1,6206,3084,303,1029,118,0,38,0,0
2026,2,4648,2288,286,496,112,0,67,0,0
2026,3,4330,2291,307,321,145,0,81,0,0
2026,4,3669,1787,255,232,197,0,132,0,0
2026,5,3984,1734,286,204,291,0,140,0,0
2026,6,3543,1334,259,188,321,0,189,0,0
2026,7,3217,1054,222,160,488,0,244,0,0
2026,8,2295,664,154,133,310,0,187,0,0
2026,9,1319,293,71,114,243,0,77,0,0
